observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
642,A,,0.666666687,30,246,35,1
643,A,,0.666666687,38,36.25,6,0
644,A,,1,23,0,399,0
645,A,,0,34,110,30,0
646,A,,0.666666687,27,0,17,0
647,A,,0.666666687,42,0,67,0
648,A,,0.666666687,20,0,11,0
649,A,,1,55,31,2,0
650,A,,0,49,0,406,0
651,A,,0,24,0,321,0
652,A,,0.333333343,34,0,16,0
653,A,,0.333333343,36,0,13,0
654,A,,0.333333343,43,0,41,0
655,A,,0.333333343,35,0,0,0
656,A,,0.333333343,85,0,68,0
657,A,,0.333333343,24,0,63,0
658,A,,0.333333343,42,0,786,0
659,A,,1,46,56,4,1
660,A,,1,28,0,411,0
661,A,,1,46,0,73,0
662,A,,0.666666687,40,43.5,55,1
663,A,,0.666666687,38,0,0,1
664,A,,1,58,0,51,0
665,A,,1,47,14.47999954,0,1
666,A,,0,36,171.9100037,5,1
667,A,,0,41,119.9599991,0,1
668,A,,0,23,0,58,0
669,A,,0.333333343,24,0,90,1
670,A,,0.333333343,36,0,7,0
671,A,,0.666666687,45,103,4,1
672,A,,0.666666687,36,0,133,0
673,A,,1,23,0,0,0
674,A,,1,48,71.75,8,1
675,A,,0,48,0,31,0
676,A,,0,33,0,0,0
677,A,,0,22,0,198,0
678,A,,0,24,0,161,0
679,A,,0,17,76.01000214,3,1
680,A,,0,0,44.09999847,0,1
681,A,,0.333333343,37,59.24000168,160,0
682,A,,0.333333343,19,0,422,0
683,A,,0.333333343,19,81,16,1
684,A,,0.333333343,0,0,0,1
685,A,,0.333333343,0,57,27,0
686,A,,0.333333343,0,51,3,0
687,A,,0.666666687,0,53,27,0
688,A,,0,34,0,109.1399994,0
689,A,,0,34,18.10000038,2,0
690,A,,0,19,82,40,0
691,A,,0,35,0,0,0
692,A,,0,38,309,194.1399994,0
693,A,,0,55,0,40.13999939,0
694,A,,0.333333343,32,0,70.13999939,0
695,A,,0.333333343,45,0,40.13999939,0
696,A,,0.333333343,39,79,136.1600037,1
697,A,,1,33,32.58000183,6,1
698,A,,0,35,74.69999695,1,0
699,A,,0,18,145.9799957,20,0
700,A,,0,25,87.59999847,1,1
701,A,,0.333333343,18,65.25,15,0
702,A,,0.666666687,24,91,32,0
703,A,,0.666666687,24,21.75,90,0
704,A,,1,75,0,6,0
